league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1911,Appalachian League,Johnson City,regular,,,,,61,38,,0.616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Knoxville,regular,,,,,58,38,,0.604,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Asheville,regular,,,,,53,44,,0.546,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Morristown,regular,,,,,46,49,,0.484,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Cleveland,regular,,,,,38,56,,0.404,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Bristol,regular,,,,,33,62,,0.34700000000000003,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Johnson City,regular,,,,,,,,,,,99,,3205,464,,856,,,166,47,23,,,,,,,121,,214,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Asheville,regular,,,,,,,,,,,97,,3081,454,,820,,,150,23,26,,,,,,,150,,181,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Knoxville,regular,,,,,,,,,,,96,,3357,460,,869,,,146,51,22,,,,,,,114,,174,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Appalachian League,Morristown,regular,,,,,,,,,,,95,,3042,396,,776,,,139,22,22,,,,,,,213,,123,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
