league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_W,P_L,P_T,P_PCT,P_R,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1915,American Association,Minneapolis,regular,,,92.0,62.0,1.0,0.597,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,St. Paul,regular,,,90.0,63.0,3.0,0.588,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Indianapolis,regular,,,81.0,70.0,4.0,0.536,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Louisville,regular,,,78.0,72.0,5.0,0.52,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Kansas City,regular,,,71.0,79.0,4.0,0.473,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Milwaukee,regular,,,67.0,81.0,6.0,0.453,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Cleveland,regular,,,67.0,82.0,2.0,0.45,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Columbus,regular,,,54.0,91.0,3.0,0.372,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,American Association,Minneapolis,regular,,,,,,,,,,,5327.0,805.0,573.0,1504.0,1972.0,,246.0,78.0,22.0,,550.0,,499.0,,,213.0,,113.0,,0.282,,,,,,,,,,,,,,,,,
1915,American Association,Kansas City,regular,,,,,,,,,,,5164.0,711.0,561.0,1394.0,1830.0,,215.0,55.0,37.0,,570.0,,481.0,,,175.0,,147.0,,0.27,,,,,,,,,,,,,,,,,
1915,American Association,Indianapolis,regular,,,,,,,,,,,5043.0,725.0,519.0,1363.0,1694.0,,175.0,60.0,12.0,,566.0,,448.0,,,257.0,,237.0,,0.27,,,,,,,,,,,,,,,,,
1915,American Association,Louisville,regular,,,,,,,,,,,5077.0,727.0,523.0,1357.0,1814.0,,188.0,106.0,19.0,,559.0,,430.0,,,201.0,,173.0,,0.267,,,,,,,,,,,,,,,,,
1915,American Association,Cleveland,regular,,,,,,,,,,,4960.0,672.0,443.0,1301.0,1678.0,,187.0,77.0,12.0,,496.0,,509.0,,,184.0,,206.0,,0.262,,,,,,,,,,,,,,,,,
1915,American Association,Milwaukee,regular,,,,,,,,,,,5032.0,714.0,469.0,1305.0,1678.0,,166.0,60.0,29.0,,687.0,,494.0,,,213.0,,180.0,,0.259,,,,,,,,,,,,,,,,,
1915,American Association,St. Paul,regular,,,,,,,,,,,5108.0,704.0,510.0,1307.0,1793.0,,195.0,87.0,39.0,,603.0,,581.0,,,226.0,,162.0,,0.256,,,,,,,,,,,,,,,,,
1915,American Association,Columbus,regular,,,,,,,,,,,4782.0,532.0,387.0,1154.0,1455.0,,164.0,49.0,13.0,,490.0,,495.0,,,152.0,,129.0,,0.241,,,,,,,,,,,,,,,,,
1915,American Association,St. Paul,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,4151.0,1984.0,262.0,119.0,0.0,16.0,,,0.959
1915,American Association,Kansas City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,4063.0,2116.0,274.0,129.0,0.0,11.0,,,0.958
1915,American Association,Minneapolis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,4097.0,2050.0,274.0,139.0,0.0,22.0,,,0.957
1915,American Association,Indianapolis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,4083.0,1953.0,280.0,141.0,0.0,17.0,,,0.956
1915,American Association,Louisville,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,4078.0,1945.0,287.0,98.0,1.0,10.0,,,0.955
1915,American Association,Cleveland,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,3904.0,1922.0,291.0,123.0,0.0,31.0,,,0.952
1915,American Association,Milwaukee,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,4051.0,2037.0,320.0,87.0,0.0,19.0,,,0.95
1915,American Association,Columbus,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,3836.0,1858.0,326.0,111.0,0.0,15.0,,,0.946
1915,Blue Ridge League,Frederick,regular,,,53.0,23.0,1.0,0.697,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Blue Ridge League,Martinsburg,regular,,,44.0,30.0,4.0,0.595,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
