league.year,league.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1949,Appalachian League,Bluefield,0,M90018,White,Ernest,,
1949,Appalachian League,Pulaski,0,M90026,Pfister,George,,
1949,Appalachian League,Bristol,0,M90039,Geraghty,Benjamin,,
1949,Appalachian League,Johnson City,0,M90047,Catchings,Ben,,
1949,Appalachian League,New River,0,M90052,Crosswhite,Jack,,
1949,Appalachian League,Welch,1,M90060,Hoffner,William,,
1949,Appalachian League,Welch,2,M90071,Kreshka,Emil (Mike),19490618,
1949,Appalachian League,Elizabethton,1,M90083,Munday,Charles,,
1949,Appalachian League,Elizabethton,2,M90094,Belcik,Andy,19490606,
1949,Appalachian League,Elizabethton,3,M90107,Morgan,Julian,19490621,
1949,Appalachian League,Kingsport,1,M90110,Jeffries,Irvine,,
1949,Appalachian League,Kingsport,2,M90129,Kluttz,Alvin,19490608,
1949,Arizona-Texas League,Phoenix,0,M90018,Trower,Don,,
1949,Arizona-Texas League,Juarez,1,M90026,Leal,Hector,,
1949,Arizona-Texas League,Juarez,2,M90039,Canales,Victor,19490804,
1949,Arizona-Texas League,Tucson,0,M90047,Lillard,Eugene,,
1949,Arizona-Texas League,El Paso,0,M90052,Cohen,Sydney,,
1949,Arizona-Texas League,Bisbee-Douglas,1,M90060,Williamson,Elmer,,
1949,Arizona-Texas League,Bisbee-Douglas,2,M90071,Jones,Paul,19490523,
1949,Arizona-Texas League,Bisbee-Douglas,3,M90083,Elliott,A. W. (Buck),19490526,
1949,Arizona-Texas League,Globe-Miami,1,M90094,Volpi,Frank,,
1949,Arizona-Texas League,Globe-Miami,2,M90107,Dancisak,Edward,19490714,
1949,Big State League,Wichita Falls,0,M90018,Bradsher,Jack,,
1949,Big State League,Texarkana,0,M90026,Archie,George,,
1949,Big State League,Austin,0,M90039,Oana,Henry,,
1949,Big State League,Waco,0,M90047,Hancken,Morris (Buddy),,
1949,Big State League,Sherman-Denison,1,M90052,Brown,J. Lindsay,,
1949,Big State League,Sherman-Denison,2,M90060,Appleton,Pete,19490526,
1949,Big State League,Greenville,0,M90071,Davis,John (Red),,
1949,Big State League,Gainesville,1,M90083,Taylor,Ray,,
1949,Big State League,Gainesville,2,M90094,Goldstein,Leslie (Lon),19490725,
1949,Big State League,Temple,1,M90107,White,Wm. Barney,,
1949,Big State League,Temple,2,M90110,Peel,Homer,19490615,
1949,Blue Ridge League,Mount Airy,1,M90018,Essie,Francis,,
1949,Blue Ridge League,Mount Airy,2,M90026,Lundeed,Phillip,19490815,
1949,Blue Ridge League,Mount Airy,3,M90039,Treece,Eunice (Pete),19490819,
1949,Blue Ridge League,Mount Airy,3,M90047,Flowers,Okey,19490819,
1949,Blue Ridge League,Galax,1,M90052,Sloboda,Stephen,,
1949,Blue Ridge League,Galax,2,M90060,Latshaw,Robert,19490701,
1949,Blue Ridge League,Wytheville,0,M90071,Subb,Frank,,
1949,Blue Ridge League,North Wilkesboro,1,M90083,Daddino,Thomas,,
1949,Blue Ridge League,North Wilkesboro,2,M90094,Loman,Henry (Flash),19490727,19490801
1949,Blue Ridge League,North Wilkesboro,3,M90107,Keating,Bernard,19490801,19490817
1949,Blue Ridge League,North Wilkesboro,4,M90110,Loman,Henry (Flash),19490817,
1949,Blue Ridge League,Elkin,0,M90129,Harris,Wayne (Tige),,
1949,Blue Ridge League,Radford,1,M90132,Thompson,Robert,,
1949,Blue Ridge League,Radford,2,M90141,Cirelli,Frank,19490809,
1949,Blue Ridge League,Radford,3,M90155,Braxton,Garland,19490814,
1949,Border League,Geneva,0,M90018,Small,Charles,,
1949,Border League,Ottawa,0,M90026,Metzig,William,,
1949,Border League,Ogdensburg,0,M90039,Wein,Russell,,
1949,Border League,Auburn,0,M90047,Hearn,Barney,,
1949,Border League,Watertown,0,M90052,Heller,Frank,,
1949,Border League,Kingston,1,M90060,Bonura,Henry (Zeke),,
1949,Border League,Kingston,2,M90071,Leach,Harold,19490810,
1949,Canadian-American League,Quebec,0,M90018,McCormick,Frank,,
1949,Canadian-American League,Oneonta,0,M90026,Popowski,Edward,,
1949,Canadian-American League,Three Rivers,0,M90039,Scherger,George,,
1949,Canadian-American League,Pittsfield,0,M90047,Hasson,Gene,,
1949,Canadian-American League,Amsterdam,0,M90052,Smith,Mayo,,
1949,Canadian-American League,Gloversville-Johnstown,0,M90060,Cullinane,James,,
1949,Canadian-American League,Schenectady,0,M90071,Carter,Richard,,
1949,Canadian-American League,Rome,0,M90083,Smoll,Clyde,,
1949,Carolina League,Danville,0,M90018,Fair,Woodrow,,
1949,Carolina League,Winston-Salems,1,M90026,Duke,Willie,,
1949,Carolina League,Winston-Salem,2,M90039,Ferrell,George,19490611,
1949,Carolina League,Winston-Salem,3,M90047,LeBlanc,Rolland,19490613,
1949,Carolina League,Raleigh,1,M90052,Lockamy,Glenn,,
1949,Carolina League,Raleigh,2,M90060,Cronin,Charles,19490609,
1949,Carolina League,Burlington,1,M90071,Bates,Hubert (Buddy),,
1949,Carolina League,Burlington,2,M90083,Crompton,Herbert,19490722,
1949,Carolina League,Greensboro,1,M90094,Ferrell,Wesley,,
1949,Carolina League,Greensboro,2,M90107,Vaughn,Frederick,19490701,
1949,Carolina League,Greensboro,3,M90110,Bates,Hubert (Buddy),19490722,
1949,Carolina League,Durham,0,M90129,Parker,Clarence (Ace),,
1949,Carolina League,Reidsville,1,M90132,George,John,,
1949,Carolina League,Reidsville,2,M90141,Souter,George,19490502,
1949,Carolina League,Reidsville,3,M90155,Hatch,Harry,19490510,
1949,Carolina League,Reidsville,4,M90164,Payne,Cecil (Zip),19490723,
1949,Carolina League,Martinsville,0,M90178,Staller,George,,
1949,Central Association,Burlington,0,M90018,Brown,Lloyd,,
1949,Central Association,Keokuk,0,M90026,Hargreaves,Charles,,
1949,Central Association,Kewanee,0,M90039,Hoffman,Harold,,
1949,Central Association,Cedar Rapids,0,M90047,Rogers,Stanley (Packy),,
1949,Central Association,Clinton,1,M90052,Matulis,Adolph,,
1949,Central Association,Clinton,2,M90060,Blake,Joseph,19490724,
1949,Central Association,Rockford,1,M90071,Dill,Robert,,
1949,Central Association,Rockford,2,M90083,Lietz,Fred,19490801,
1949,Central League,Dayton,0,M90018,Melillo,Oscar,,
1949,Central League,Flint,0,M90026,Tighe,Jack,,
1949,Central League,Grand Rapids,0,M90039,Knight,Jack,,
1949,Central League,Charleston,0,M90047,Beggs,Joseph,,
1949,Central League,Muskegon,0,M90052,Ruffing,Charles (Red),,
