league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1968,Mexican Rookie League,Caborca,regular,,,,,55,40,0,0.579,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Empalme,regular,,,,,43,52,0,0.453,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Agua Prieta,regular,,,,,33,62,0,0.347,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Cananea,regular,,,,,30,64,0,0.319,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Caborca,regular,,,,,,,,,,14805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Agua Prieta,regular,,,,,,,,,,12202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Cananea,regular,,,,,,,,,,4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Empalme,regular,,,,,,,,,,3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Agua Prieta,regular,,,,,,,,,,,95,,3255,564,,869,1240,,145,56,38,427,303,,497,,42,33,,67,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Caborca,regular,,,,,,,,,,,95,,3095,464,,787,1040,,123,32,22,393,270,,486,,56,58,,94,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Cananea,regular,,,,,,,,,,,94,,3115,343,,768,1038,,115,46,21,300,213,,401,,41,19,,85,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Empalme,regular,,,,,,,,,,,95,,3129,355,,648,833,,91,23,16,297,243,,532,,36,45,,147,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Mexican Rookie League,Caborca,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,2415,1000,191,76,0,38,,,0.947
1968,Mexican Rookie League,Cananea,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,2355,1044,242,60,0,19,,,0.934
1968,Mexican Rookie League,Empalme,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,2397,1064,261,71,0,35,,,0.93
1968,Mexican Rookie League,Agua Prieta,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,2382,971,253,55,0,43,,,0.93
