league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1896,Canadian League,regular,Guelph,0,M90018,Hewer,James,,
1896,Canadian League,regular,London,0,M90026,Richardson,Arthur L.,,
1896,Canadian League,regular,Hamilton,0,M90039,Holman,A.D.,,
1896,Canadian League,regular,Galt,0,M90047,Collins,Charles,,
1915,Georgia-Alabama League,regular,Anniston,,M90018,Steele,Jack,,
1915,Georgia-Alabama League,regular,Newnan,,M90026,Matthews,Harry,,
1915,Georgia-Alabama League,regular,Talladega,,M90039,Garrett,"H. L. ""Tige""",,
1915,Middle Texas League,regular,Austin,0,M90018,Fucich,,,
1915,Middle Texas League,regular,Belton,0,M90026,Lawson,Charles,,
1915,Middle Texas League,regular,Brenham,0,M90039,Disch,William J.,,
1915,Middle Texas League,regular,Temple,0,M90047,Burleson,Luther,,
1915,Middle Texas League,regular,Taylor,1,M90052,Fucich,,,
1915,Middle Texas League,regular,Taylor,2,M90060,Snipes,Jack C.,19150601,
