league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1908,Eastern Illinois League,regular,Charleston,1,M90018,Madden,Walter,,
1908,Eastern Illinois League,regular,Charleston,2,M90026,Walters,Herman,19080603,
1908,Eastern Illinois League,regular,Charleston,3,M90039,Kerwin,James,19080703,
1908,Eastern Illinois League,regular,Danville,0,M90047,Dithridge,William,,
1908,Eastern Illinois League,regular,Mattoon,1,M90052,Russell,R. C.,,
1908,Eastern Illinois League,regular,Mattoon,2,M90060,Ludwig,William,19080531,
1908,Eastern Illinois League,regular,Mattoon,3,M90071,McGuire,Frank,19080620,
1908,Eastern Illinois League,regular,Mattoon,4,M90083,Johnstone,Bill,19080704,
1908,Eastern Illinois League,regular,Pana,1,M90094,Hawker,W. S.,,
1908,Eastern Illinois League,regular,Pana,2,M90107,Landon,Frank,19080520,
1908,Eastern Illinois League,regular,Pana,3,M90110,Holycross,Albert,19080703,
1908,Eastern Illinois League,regular,Paris,1,M90129,Eckstone,Sidney,,
1908,Eastern Illinois League,regular,Paris,2,M90132,Jenkins,Dan,19080523,
1908,Eastern Illinois League,regular,Paris,3,M90141,Taylor,Pete,19080722,
1908,Eastern Illinois League,regular,Shelbyville,0,M90155,Adams,Joseph H.,,
1908,Eastern Illinois League,regular,Staunton,0,M90164,Dithridge,William,,
1908,Eastern Illinois League,regular,Taylorville,1,M90178,Ryan,M. F.,,
1908,Eastern Illinois League,regular,Taylorville,2,M90186,Diehl,Walter C.,19080629,
1908,Eastern Illinois League,regular,Taylorville,3,M90193,Ryan,M. F.,19080709,
1908,Eastern Illinois League,regular,Vincennes,1,M90204,Lloyd,Harry,,
1908,Eastern Illinois League,regular,Vincennes,2,M90212,Wolfe,Orville,19080706,
1908,Eastern Illinois League,regular,Vincennes,3,M90220,Lloyd,Harry,19080711,
1908,Eastern Illinois League,regular,Vincennes,4,M90236,Wolfe,Orville,19080803,
1914,Illinois-Missouri League,regular,Champaign,0,M90018,Wilson,Fred (Blackie),,
1914,Illinois-Missouri League,regular,Kankakee,1,M90026,Randall,Harry (Eph),,
1914,Illinois-Missouri League,regular,Kankakee,2,M90039,Conley,Gene,19140525,
1914,Illinois-Missouri League,regular,Kankakee,3,M90047,Rains,Teddy,19140622,
1914,Illinois-Missouri League,regular,LaSalle,1,M90052,Hindley,,,
1914,Illinois-Missouri League,regular,LaSalle,2,M90060,Fitzpatrick,John,19140517,
1914,Illinois-Missouri League,regular,Lincoln,0,M90071,Ehrgott,Louis E.,,
1914,Illinois-Missouri League,regular,Ottawa,0,M90083,Fleming,Charles (Chuck,,
1914,Illinois-Missouri League,regular,Streator,1,M90094,Ray,John,,
1914,Illinois-Missouri League,regular,Streator,2,M90107,Seebach,Heine,19140620,
1915,Buckeye League,regular,Lima,0,M90018,Murray,Sandy,,
1915,Buckeye League,regular,Findlay,0,M90026,Chapman,Ollie,,
1915,Buckeye League,regular,Akron,0,M90039,Newnham,Al,,
1915,Buckeye League,regular,Newark,0,M90047,Wratten,Erve,,
1915,Buckeye League,regular,Canton,0,M90052,Prout,Bill,,
1915,Buckeye League,regular,Marion,0,M90060,Wetzel,,,
1915,Southern Michigan League,regular,Battle Creek,0,M90018,Wagner,Charles,,
1915,Southern Michigan League,regular,Bay City,0,M90026,Jenkins,Dan,,
1915,Southern Michigan League,regular,Flint,0,M90039,Wheeler,Edward,,
1915,Southern Michigan League,regular,Jackson,0,M90047,Collins,Danny,,
1915,Southern Michigan League,regular,Saginaw,0,M90052,Holmes,Howard (Ducky),,
1915,Southern Michigan League,regular,South Bend,0,M90060,Koehler,Bernard,,
1916,Central Texas League,regular,Ennis,0,M90018,Wicker,E. T.,,
