league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
2016,British National Baseball League,London Mets,regular,,,,,26,2,,0.929,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,Southampton,regular,,,,,25,3,,0.893,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,London Capitals,regular,,,,,16,11,,0.593,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,Essex,regular,,,,,14,13,,0.519,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,Brighton,regular,,,,,9,21,,0.3,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,Herts,regular,,,,,6,24,,0.2,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,
2016,British National Baseball League,South London,regular,,,,,4,26,,0.133,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,London Mets,regular,,,,,24,5,0,0.828,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,Southampton,regular,,,,,23,7,0,0.767,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,London Capitals,regular,,,,,17,12,0,0.586,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,Essex,regular,,,,,11,15,0,0.423,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,Herts,regular,,,,,7,19,0,0.269,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,
2017,British National Baseball League,Brighton,regular,,,,,3,27,0,0.1,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,
