league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1915,Texas League,Waco,regular,,,87,60,,0.592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,San Antonio,regular,,,81,67,,0.547,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Fort Worth,regular,,,81,72,,0.529,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Dallas,regular,,,73,75,,0.493,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Houston,regular,,,68,74,,0.479,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Shreveport,regular,,,62,85,,0.422,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Beaumont,regular,,,61,84,,0.421,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Galveston,regular,,,67,63,,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Waco,regular,,,,,,,,,150,,4779,609,,1290,,,262,51,45,,292,,484,,,,,160,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,San Antonio,regular,,,,,,,,,152,,4650,600,,1124,,,177,58,20,,445,,560,,,,,221,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Fort Worth,regular,,,,,,,,,156,,5081,584,,1215,,,224,46,23,,528,,647,,,,,265,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Dallas,regular,,,,,,,,,153,,4823,428,,1152,,,104,45,35,,435,,650,,,,,155,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Houston,regular,,,,,,,,,145,,4643,472,,1126,,,175,56,29,,322,,562,,,,,159,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Shreveport,regular,,,,,,,,,149,,4773,534,,910,,,220,59,23,,404,,569,,,,,157,,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Beaumont,regular,,,,,,,,,146,,4699,431,,1255,,,190,44,16,,282,,540,,,,,175,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Texas League,Galveston,regular,,,,,,,,,133,,4216,534,,1070,,,99,47,18,,327,,561,,,,,189,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
